"soru_id","yil","ay","soru_no","soru_metni","secenek_A","secenek_B","secenek_C","secenek_D","dogru_cevap","kaynak"
"2020_2021_S09_02_SUBAT_SOZ","2020-2021","Şubat","9","Saçların beyazlaması, yaşın ilerlemesiyle birlikte görülen doğal bir süreçtir. Saçların renginden sorumlu olan pigment (boyar madde), saç kökündeki hücrelerden gelir. Bu hücreler önemli miktarda melanin (saça renk veren madde) üretilmesi için genetik olarak kodlanmıştır. Ancak saç köklerindeki melanin üretim kapasitesi zamanla azalır. Bunun nedeni, saç köklerinde biriken “hidrojen peroksit” adlı kimyasal maddedir. Normalde her insanın saç köklerinde az da olsa hidrojen peroksit üretilir fakat vücut, bu maddeyi hemen su ve oksijene çevirir. Yaş ilerledikçe vücudun bu becerisi azalır ve hidrojen peroksit saç köklerinde birikerek melanin yapımını önler. Saç boyaları genelde %3-6 oranında hidrojen peroksit içerir. Başka bir deyişle bir kez saç boyamak için gerekli olan 50 g saç boyası, ortalama 1,5 g hidrojen peroksit içerir. 1,5 g çok büyütülecek bir miktar gibi görünmese de vücut açısından önemli bir orandır. Bu boyalar kullanıldığı takdirde saçlarda bir miktar hidrojen peroksit birikmiş olur. Bu metinlere göre, boya kullanılan saçlarda aşağıdaki durumlardan hangisinin gerçekleşmesi beklenir?","Saçlardaki melanin miktarı dengelenir.","Saç kökündeki hücrelerin sayısı azalır.","Saçlar daha çabuk beyazlaşır.","Saçlar yıpranmaya başlar.","C","02_SUBAT_SOZEL_ORNEK_SORULAR_31589"
"2020_2021_S10_02_SUBAT_SOZ","2020-2021","Şubat","10","Türkiye’nin ilk millî sondaj (su, maden, petrol vb. araştırmalar için toprağın derinliklerine sonda atmak) gemisi olan Fatih, 2017’de Türkiye Petrolleri Anonim Ortaklığı tarafından yapılan bakımın ardından 29 Ekim 2018’de Alanya’da arama çalışmalarına başladı. İkinci aramasını Doğu Akdeniz’de gerçekleştiren Fatih, 29 Mayıs 2020’de Karadeniz’deki ilk millî sondajını gerçekleştirmek üzere Haydarpaşa Limanından uğurlandı. 21 Ağustos 2020’de Zonguldak açıklarında 320 milyar m3lük bir doğal gaz kaynağı tespit ederek büyük bir başarıya imza attı. Bu metinde aşağıdaki yazım kurallarından hangisinin örneği yoktur?","Kazım Karabekir, askeri görev ve yetkilerini Mustafa Kemal’e devretmiştir.","Yaşanan gelişmeler nedeniyle Erzurum Kongresi toplanamamıştır.","Mustafa Kemal’in liderlik özelliği ön plana çıkmıştır.","Millî Mücadele süreci Erzurum’da başlamıştır.","D","02_SUBAT_SOZEL_ORNEK_SORULAR_31589"
"2020_2021_S02_03_MART_SOZE","2020-2021","Mart","2","Bir günü daha eskitip anılarımızın arasına gönderdik. Solmuş bir gül yaprağı gibi dökülüp gitti geçmişe. Onu da kurutup özenle koyduk bir kitabın arasına. Bu parçada “solmuş bir gül yaprağı” sözüyle aşağıdakilerden hangisi kastedilmiştir?","Anılar","Gün","Kitap","Geçmiş Türkçe Örnek Soruları 4 3 ve 4. soruları aşağıdaki metne göre cevaplayınız. Diyelim için çekti bir sabah vakti Erkenceden denize gireyim, dedin Kulaç attıkça sen Patiska çarşaflar gibi yırtılıyor su ortadan Ege Denizi bu, efendi deniz Seslenmiyor","B","03_MART_SOZEL_66357831_ORNEK_SORULAR"
"2020_2021_S03_03_MART_SOZE","2020-2021","Mart","3","Bu dizelerle ilgili aşağıdakilerden hangisi söylenemez?","Biri diğerine bağlı olarak değişen bir durumdan bahsedilmiştir.","İnsan dışındaki bir varlığa insana ait özellikler yüklenmiştir.","Varsayım anlamı taşıyan bir cümleye yer verilmiştir.","Hitap bildiren bir sözcük kullanılmıştır.","D","03_MART_SOZEL_66357831_ORNEK_SORULAR"
"2020_2021_S04_03_MART_SOZE","2020-2021","Mart","4","Bu dizelerdeki altı çizili deyimin cümleye kattığı anlam aşağıdakilerin hangisinde vardır?","Kurdun kuşun tadını çıkardığı şu havayı ben de doya doya soludum.","Yufkaları görünce canım şöyle çıtır çıtır bir ıspanaklı börek istedi.","Bugün, bir haftadır beklettiği işlerin tümünü bitirmeyi planlıyordu.","İdris Bey’in köye ihtişamla girdiğini gören herkes çok heyecanlandı.","B","03_MART_SOZEL_66357831_ORNEK_SORULAR"
"2020_2021_S05_03_MART_SOZE","2020-2021","Mart","5","Gezegenimizde kendi kulvarında birinci olan yerleri hiç merak ettiniz mi? İşte, karşınızda gezegenimizin rekortmen yerlerinden bazıları: Bu cümlelerle başlayan bir metinde aşağıdakilerden hangisinin yer alması beklenmez?","Uydu ölçümleri, dünyanın en sıcak yerinin 70 °C’yi aşan sıcaklığıyla Lut Çölü olduğunu ortaya koydu. İran’ın güneydoğusundaki bu çöl öylesine sıcaktır ki bilim insanları, önceleri burada canlıların yaşamasının olanaksız olduğunu düşünmüştü. Ancak akıllara sığmayan bu sıcaklığa rağmen çeşitli sürüngen ve örümcekler burada hayatta kalabiliyor.","Angel Şelalesi, 979 metre yüksekliğiyle dünyanın en uzun gökdelenini bile geride bırakır. Şelaleden akan su, havanın sıcak ve kuru olduğu dönemlerde tabana ulaşamadan buharlaşmaktadır. 18 Kasım 1933’te ABD’li bir pilot tarafından keşfedilen ve dünyanın en yüksek şelalesi olan Angel Şelalesi, aynı zamanda Venezuela’nın en ünlü turistik yerlerinden biridir.","Dünyanın en ilginç mağaralarından biri olan ve Lübnan’ın 18 km kuzeyindeki bir vadide bulunan Jeita Grotto Mağarası; ilginç kaya şekilleri ile ziyaretçilerini büyülüyor. İki kısımdan oluşan mağaranın alt kısmı 1836 yılında Reverend William Thompson tarafından, üst kısmı ise 1958 yılında Lübnanlı mağara bilimciler tarafından keşfedilmiştir.","Dünyanın en büyük adası olan Grönland, aslında üç ayrı adadan oluşur ve bu adalar kalın bir buz örtüsüyle birbirine bağlıdır. Kalınlığı yer yer 3 kilometreye varan bu buz örtüsü, altındaki karaya öylesine baskı yapar ki üç ada da deniz seviyesinin 300 metre altında kalır. Dünyada Antarktika dışında buz örtüsü görülen tek yer Grönland’dır.","A","03_MART_SOZEL_66357831_ORNEK_SORULAR"
"2020_2021_S07_03_MART_SOZE","2020-2021","Mart","7","Yazar; zamanının çoğunu araştırmalar yaparak, düşünerek, fikir üreterek, bu fikirleri söyleşilerde topluma anlatarak geçirmişti. Küreselleşmeden göçe ve teknolojiye pek çok başlık altında, gençleri ve eğitimi genellemelere başvurmaksızın anlayıp anlatmaya çalışırken, değişen toplumsal yaşamın ancak buralara bakılarak kavranabileceğini hatırlatıyordu. Yaşadığı süre içinde el atmadığı mesele kalmamıştı. Nesli hızla tükenen bilgelerden olan ve bilgisini konuştururken çağını yorumlayan yazar, ömrünün son günlerinde bile, bir öğrenciyle arasındaki tek farkın yaşı olduğunu söyleyebiliyordu. Öğretirken öğrenen, öğrenirken öğreten yazar bu yolda sosyologluğunu hem kullandı hem de geliştirdi. Bu metinde sözü edilen yazar aşağıdakilerden hangisiyle nitelendirilemez?","Engelleri aşarak büyük başarılara imza atmış olmaları","Uluslararası bir üne sahip olmaları","Bilimsel araştırmalara konu edilmeleri","Yaptıkları işe tutkuyla bağlı olmaları","A","03_MART_SOZEL_66357831_ORNEK_SORULAR"
"2020_2021_S09_03_MART_SOZE","2020-2021","Mart","9","Van Kalesi ve çevresi, Çevre ve Şehircilik Bakanlığınca “nitelikli doğal koruma alanı” olarak tescillendi. Van Çevre ve Şehircilik Müdürü, Ocak 2011’den bu yana Bakanlık bünyesinde on dört kişiden oluşan uzman bir ekiple tabiat varlıklarının korunmasına yönelik çalışma yürüttüklerini söyledi. Bu parçada büyük harflerin yazımıyla ilgili aşağıdaki kuralların hangisine örnek olabilecek bir kullanım yoktur?","Kişi adlarından önce ve sonra gelen unvanlar, saygı sözleri, rütbe adları ve lakaplar büyük harfle başlar.","Cümle içinde özel adın yerine kullanılan makam veya unvan sözleri büyük harfle baş­lar.","Saray, köşk, han, köprü, kule, anıt vb. yapı adlarının bütün kelimeleri büyük harfle başlar.","Belirli bir tarih bildiren ay ve gün adları büyük harfle başlar.","A","03_MART_SOZEL_66357831_ORNEK_SORULAR"
"2020_2021_S10_03_MART_SOZE","2020-2021","Mart","10","İkiden fazla eş değer öge arasında virgül bulunan cümlelerde özneden sonra noktalı virgül konabilir. Aşağıdakilerin hangisinde noktalı virgül bu işleviyle kullanılmıştır?","I ve II","I ve III","II ve III","I, II ve III","C","03_MART_SOZEL_66357831_ORNEK_SORULAR"
"2020_2021_S01_04002438_MAY","2020-2021","Mayıs","1","Ünlü bir yazar arkadaşıma rastladım Kadıköy İskelesi’nde. “Ne var, ne yok; yine hikâye yazıyor musun?” dedim. O, yazmayı bırakmadığını kendine has üslubuyla şöyle ifade etti: “Hayır, yaşıyorum.” Aşağıdaki cümlelerden hangisi bu metindeki altı çizili ifadeyle anlatılmak isteneni karşılamaktadır?","İnsanları ve çevreyi herhangi bir kurala bağlı kalmadan özgürce ele alırım bütün anlatılarımda.","Hikâyelerimde kendimi hikâye kahramanlarının yerine koyuyorum; onlarla birlikte oturup kalkıyor, nefes alıyorum.","Balık tutmak, hikâye yazmak, insan tanımak ve Beyoğlu’nda bir aşağı bir yukarı dolaşmaktır benim için yaşamak.","Yaşamaktan zevk alan insanlara, martılara, kuşlara, böceklere, ağaçlara ve çiçeklere ayna tutuyorum öykülerimde.","B","04002438_MAYIS_SOZEL_ORNEK_SORULAR"
"2020_2021_S02_04002438_MAY","2020-2021","Mayıs","2","İlk kez karşılaştığımız insanların bazılarına çok kısa sürede güvenirken kimilerini - - - - buluruz. Bir araştırma, bu farklı tepkilerde insanların - - - - etkili olduğunu ortaya çıkarmış. Araştırma kapsamında katılımcılara hem gerçek hem de bilgisayarda çizilmiş yüzler gösterilmiş ve bu sırada katılımcıların sinirsel tepkileri incelenmiş. İncelemeler sırasında, elmacık kemikleri belirgin ve geniş çeneli insanları gören katılımcıların beyinlerinde olumlu tepkiler oluştuğu görülmüş. Dolayısıyla bu yüz özelliklerine sahip insanların daha güvenilir bulunduğu sonucuna varılmış. Bu parçada boş bırakılan yerlere aşağıdakilerin hangisinde verilenler sırasıyla getirilmelidir?","tekinsiz - yüz hatlarının","samimiyetsiz - konuşmalarının","tehlikeli - jest ve mimiklerinin","güvenilmez - davranışlarının","A","04002438_MAYIS_SOZEL_ORNEK_SORULAR"
"2020_2021_S03_04002438_MAY","2020-2021","Mayıs","3","Aşağıdakilerden hangisi “İnsan neden okur?” sorusunun cevabıdır?","Okur; mümkünse gerçek yazarları, öğretilerin kurucularını, kâşifleri, herhangi bir bilim veya sanat alanında kabul görmüş kimseleri okumalıdır.","Bireyler eskiden bir sorunun cevabını ararken ansiklopedik kaynakları okur ve oralarda buldukları cevabın doğru olduğunu düşünürlerdi. Ancak günümüzde arama motorları onlara sayısız cevap sunabilmektedir. Bu cevaplardan hangisinin doğru olduğunu araştırmaksa bireye aittir.","Okuma sürenizi sınırlamaya dikkat edin ve okumak için belirlediğiniz vakti, bütün zamanların ve ülkelerin önemli yazarlarının eserlerine ayırın.","Bazen bir dizeye yahut bir cümleye tesadüf edersiniz ve şöyle dersiniz: “İşte bu, tam da benim yaşadığım ama adını koyamadığım o duyguyu anlatıyor.” Yalnızlığınız bir anlığına uçup gider. Başka insanlarla aranızda bir yakınlık kurarsınız. Çoğalır ve iyileşirsiniz.","D","04002438_MAYIS_SOZEL_ORNEK_SORULAR"
"2020_2021_S04_04002438_MAY","2020-2021","Mayıs","4","Tereddüt, olumsuza yakın kararsızlık hâlidir. Kabulden çok, redde yakındır. Zamana yayılan her irade; kabulün düşmanı, reddin dostudur. Aşağıdakilerden hangisi bu metinde sözü edilen tereddüt hâline örnek olabilir?","Vitrindeki o gösterişli elbiseyi alıp almama konusunda bir an duraksadı. Aşağı tükürse sakal, yukarı tükürse bıyık… Asla yanlış bir şey yapmak istemiyordu.","Eğitimini nerede sürdüreceğiyle ilgili düşüncesi netleşmişti artık. Doğru veya yanlış, bir an önce karara varmak onu rahatlatmıştı.","Acele işe şeytan karışır, sözünün doğruluğuna hiçbir zaman itimat etmeyip yapılacak olanı hemen yapıverirdi.","Toplantıya yetişebilmesi için çok hızlı hareket etmesi ve vakit geçirmeden yola çıkması gerektiğini biliyordu.","A","04002438_MAYIS_SOZEL_ORNEK_SORULAR"
"2020_2021_S05_04002438_MAY","2020-2021","Mayıs","5","Doğaya beğenisini katan insan, onu sanata dönüştürür. Sanatçı, doğaya yeni bir bakış getiren insandır. Eserini ortaya koyduktan sonra artık iki dünyayla yüz yüzedir: gördüğü dünya ve gösterdiği dünya. Picasso “Resim senin benden istediğin değil, benim sana verdiğimdir.” derken de bu duruma vurgu yapmıştır. Bu parçada Picasso, sanatçıyla ilgili aşağıdakilerden hangisini vurgulamıştır?","Yorumlamaz, var olanı ortaya koyar.","Doğayı kopyalamaz, sezdirir.","Beklentileri değil, kendi duygu dünyasını yansıtır.","Bireyden ziyade toplumun taleplerini önceler.","A","04002438_MAYIS_SOZEL_ORNEK_SORULAR"
"2020_2021_S06_04002438_MAY","2020-2021","Mayıs","6","Kulakları sağır eden bir sessizliğin içinde bulut bulut parçalanmış gökyüzünü seyrediyorum. Bulutlar mı üstüme koşuyor yoksa ben mi bulutların gölgesindeyim, kestirmek mümkün değil. Güneş, saklambaç oynarcasına arada bir ortaya çıkıyor. Bu parçayla ilgili aşağıdakilerden hangisi söylenemez?","“Anlamak, farkına varmak” anlamına gelen bir sözcük kullanılmıştır.","Karşıt durumlar bir arada verilmiştir.","İnsan dışındaki bir varlığa insana ait bir özellik yüklenmiştir.","Biri diğerine bağlı olarak değişen iki durumdan söz edilmiştir.","D","04002438_MAYIS_SOZEL_ORNEK_SORULAR"
"2020_2021_S07_04002438_MAY","2020-2021","Mayıs","7","Bazı meyve fidanlarının aşağıdaki kurallara göre dikilmesi gerekmektedir: • Elma, armut ve ayva yukarıdan aşağıya aynı hizada olacaktır. • Kayısı, kiraz ve erik birbirine çapraz olacaktır. • Ceviz, badem ve fındık bahçenin köşelerinde olacaktır. Fidanların bahçeye şu şekilde dikildiği görülmüştür. ceviz elma kayısı armut erik fındık kiraz ayva badem Buna göre fidanların kurallara uygun dikilmesi için aşağıdaki değişikliklerden hangisi yapılmalıdır?","Ceviz ile elma, fındık ile badem fidanının yerleri değiştirilmedir.","Kiraz ile erik, elma ile fındık fidanının yerleri değiştirilmelidir.","Elma ile erik, kayısı ile armut fidanının yerleri değiştirilmelidir.","Kayısı ile badem, erik ile elma fidanının yerleri değiştirilmelidir.","D","04002438_MAYIS_SOZEL_ORNEK_SORULAR"
"2020_2021_S08_04002438_MAY","2020-2021","Mayıs","8","I. Kavurucu sıcaklıktaki çöllerde su içmeden yüzlerce kilometre yol katedebilen develer, hörgüçlerinde su değil yağ depolar. Uzun yolculuklar sırasında bu yağ dokusu kullanıldıkça bir miktar su açığa çıksa da develer susuzlukla mücadelede güçlerini vücutlarının diğer uyum becerilerinden alır. II. Diğer canlılarda yağ, vücudun farklı yerlerine yayılarak depolanırken develerde yağın tek bir bölgede toplanması onların daha az terlemelerini sağlar. Gündüz aldıkları ısının bir kısmını gece serinliğinde kaybetmeleri de su tasarrufuna katkıda bulunur. On dakika gibi kısa bir sürede yüz litreden fazla su içebilen develer bu suyu midelerinin üst kısmında bekleterek gerektiğinde dolaşıma azar azar dâhil eder. II numaralı metinle ilgili aşağıdakilerden hangisi söylenebilir?","I. metinde ifade edilen konuyla çelişen bir durumdan söz edilmiştir.","I. metinde anlatılanların sebep olduğu olumsuzluklardan bahsedilmiştir.","I. metinde sözü edilen durumu açıklamak için örnekleme yapılmıştır.","I. metinde bahsedilen durumun başka canlılara etkisi açıklanmıştır.","C","04002438_MAYIS_SOZEL_ORNEK_SORULAR"
"2020_2021_S09_04002438_MAY","2020-2021","Mayıs","9","Akıllı telefonlar, her geçen gün gelişerek hayatımızı kolaylaştırsa da bazı sağlık sorunlarını beraberinde getiriyor. Bu sorunların en önemli sebebi ise akıllı telefonların yaydığı radyasyon. Her telefonun yaydığı radyasyon değeri (SAR değeri) birbirinden farklı olmakla birlikte cep telefonu ile geçirilen süre, telefon görüşmelerinde kulaklık kullanılması ve telefonun sinyal gücünün seviyesi gibi değişkenler de radyasyona maruz kalma düzeyini etkiliyor. Bu metne göre, I. SAR değeri düşük telefonlar tercih edilmelidir. II. Telefon kullanılırken boyun ve bel duruşuna dikkat edilmelidir. III. Telefon, kullanılmadığı zamanlarda vücuttan uzak tutulmalıdır. önerilerinden hangileri sözü edilen tehlikeye yönelik bir çözüm olabilir?","Yalnız I","I ve III","II ve III","I, II ve III","B","04002438_MAYIS_SOZEL_ORNEK_SORULAR"
"2020_2021_S10_04002438_MAY","2020-2021","Mayıs","10","1. Kaplumbağa 2. Kaplumbağa 3. Kaplumbağa Yukarıda üç farklı kaplumbağanın üstten görünüşü verilmiştir. Bu kaplumbağaların üzerindeki benek sayısı arttıkça hızları azalmakta, yaşları artmaktadır. Benekler azaldıkça dalış yetenekleri de artmaktadır. Bu kaplumbağalarla ilgili, I. Dalış yeteneği en düşük olan, birinci kaplumbağadır. II. En hızlı hareket edebilen, ikinci kaplumbağadır. III. En yaşlı kaplumbağa, üçüncü kaplumbağadır. IV. Dalış yeteneği en fazla olan, en genç kaplumbağadır. çıkarımlarından hangileri doğrudur?","Ülkenin bayındır hâle getirilmesi amaçlanmıştır.","Gücünü halktan alan bir yönetim şekli benimsenmiştir.","Hükûmet sisteminde değişikliğe gidilebileceği vurgulanmıştır.","Farklı alanlarda yeni uygulamalara geçileceği ifade edilmiştir.","B","04002438_MAYIS_SOZEL_ORNEK_SORULAR"
"2020_2021_S01_04_NISAN_SOZ","2020-2021","Nisan","1","Bu parçadan Yunus Emre ile ilgili aşağıdakilerden hangisi çıkarılamaz?","Ulusal bütünlüğün sağlanmasında birleştirici bir rol üstlenmiştir.","Allah aşkını ve doğru davranış kurallarını insanlara öğretmiştir.","Kişiliği ve şiirleri, yaşadığı çağın dışında da ilgi uyandırmıştır.","Şiirleriyle toplumsal dil bilincinin oluşmasını sağlamıştır.","D","04_NISAN_SOZEL_15da4785_ORNEK_SORULAR"
"2020_2021_S02_04_NISAN_SOZ","2020-2021","Nisan","2","Aşağıdakilerden hangisi bu metinde boş bırakılan yerlerden herhangi birine getirilemez?","Elif okuduk ötürü Pazar eyledik götürü Yaratılanı hoş gör Yaradan’dan ötürü","Adımız miskindir bizim Düşmanımız kindir bizim Biz kimseye kin tutmayız Kamu âlem birdir bize","Geldi geçti ömrüm benim Şol yel esip geçmiş gibi Hele bana şöyle gelir Şol göz yumup açmış gibi","Ben gelmedim dava için Benim işim sevi (aşk) için Dostun evi gönüllerdir Gönüller yapmaya geldim","C","04_NISAN_SOZEL_15da4785_ORNEK_SORULAR"
"2020_2021_S03_04_NISAN_SOZ","2020-2021","Nisan","3","Polisiye romanların bir numaralı ismi olan yazar, tüm eserlerinde okurlarını benzer bir sırrın peşinde koşturuyor ve her seferinde yanıltmayı başarıyor. Bu cümlede sözü edilen yazarla ilgili, I. Okurları, her eserinde beklenmedik bir durumla karşılaşır. II. Polisiye roman alanında başarılıdır. III. Yapıtlarının hepsinde bir gizem vardır. yargılarından hangileri çıkarılabilir?","Yalnız I","I ve II","II ve III","I, II ve III","D","04_NISAN_SOZEL_15da4785_ORNEK_SORULAR"
"2020_2021_S04_04_NISAN_SOZ","2020-2021","Nisan","4","Yüzde ısrar etme doksan da olur İnsan dediğinde noksan da olur Sakın büyüklenme elde neler var Bir ben varım deme, yoksan da olur Hatasız dost arayan, dosttan da olur Aşağıdaki atasözlerinden hangisi bu dizelerde anlatılanlarla ilgili değildir?","Bir el bir eli yıkar, iki el bir yüzü yıkar.","İnsan beşer (insanoğlu), kuldur şaşar.","Kanaat gibi devlet (mutluluk) olmaz.","El yumruğu yemeyen, kendi yumruğunu değirmen taşı sanır.","A","04_NISAN_SOZEL_15da4785_ORNEK_SORULAR"
"2020_2021_S05_04_NISAN_SOZ","2020-2021","Nisan","5","Aşağıdakilerden hangisi “Kutup bölgelerinde hayatta kalmak için almamız gereken tedbirler nelerdir?” sorusunun cevaplarından biri olamaz?","Eski dönemlerin yeme içme alışkanlıklarının neler olduğuyla ilgili fikriniz var mı?","Yemek tarifleri üzerine yazılmış eski eserleri okumayı sever misiniz?","İnsanlık tarihinde mutfak kültürü en zengin medeniyet hangisiydi dersiniz?","Yunan ve Roma mutfağının Türk mutfağına benzeyen yönlerini merak ettiniz mi hiç?","C","04_NISAN_SOZEL_15da4785_ORNEK_SORULAR"
"2020_2021_S07_04_NISAN_SOZ","2020-2021","Nisan","7","Yayıncı: Bir seçme şiirler kitabı yayımladınız. Bu kitabı oluştururken gözettiğiniz ilke neydi? Şair: Öncelikle şunu belirtmek isterim ki şiirleri seçmemi yayıncı olarak siz istediniz, beni oyuna getirmeye çalışmayın. Şiirleri, belirlediğiniz sayfa sayısına göre seçtim. Aslında ben yaşayan bir şairin şiirlerinin böyle seçmelere maruz kalmasına karşıyım. Ha, madem istemediğim bir şeydi; neden bunu yaptım? Herhâlde kıramadım sizi. Bu metinde şair altı çizili ifadeyle aşağıdakilerden hangisini vurgulamak istemiştir?","Yaşayan bir şairin eserlerini yayımlamanın doğru olmadığını","Seçme şiirler kitabı yayımlama fikrinin kendisinden çıkmadığını","Şiirleri yayıncının belirlediği sayfa sayısına göre seçmenin yanlışlığını","Şiirleri arasından seçme yaparak bir kitap yayımlamaktan pişmanlık duyduğunu","B","04_NISAN_SOZEL_15da4785_ORNEK_SORULAR"
"2020_2021_S08_04_NISAN_SOZ","2020-2021","Nisan","8","Çevre ve Şehircilik Bakanlığı, e-atıkların (elektronik atıkların) toplanması ve dönüştürülmesi için bazı kuruluşlara sorumluluk vermiştir. Bu kuruluşlar, topladıkları e-atıkları geri dönüşüm tesislerine götürüyor ve işlemleri takip ediyor. Pek çok okul, belediye ve alışveriş merkezine e-atık toplama kutuları yerleştirildi. Siz de e-atıklarınızı bu kutulara bırakabilirsiniz. Bazen çamaşır makinesi, buzdolabı gibi büyük aygıtlar da atık hâline gelebiliyor. Bu durumda belediyeler ya da aygıtın yenisini aldığınız satıcılar, istediğiniz takdirde e-atıklarınızı evinizden alarak gereken yerlere ulaştırıyor. Bu parçadan aşağıdaki yargıların hangisi çıkarılamaz?","E-atıkların geri dönüşümü konusunda yapılan çalışmalar yeterlidir.","E-atıkların toplanması, belediyelerin görev alanları içindedir.","Büyük e-atıkların evlerden alınması için ilgili kurumlara bilgi verilmesi gerekmektedir.","Çevre ve Şehircilik Bakanlığı e-atıkların geri dönüşümü konusunda yetkilidir.","A","04_NISAN_SOZEL_15da4785_ORNEK_SORULAR"
"2020_2021_S09_04_NISAN_SOZ","2020-2021","Nisan","9","Konuşurken, şarkı söylerken hatta ağzımızı açmadan mırıldanırken bile sesimizi kullanırız. Bazen bağırarak, bazen fısıldayarak, bazen yumuşak, bazen sert tonlarda sesler çıkarabilmemiz için titreşim gereklidir. Titreşim, soluk borumuzun üst kısmında bulunan ses tellerimizde oluşur. Bunu sağlayan da soluk verirken akciğerlerimizden çıkan havadır. Bu havanın ses tellerimizi titreştirmesiyle oluşan ses dalgaları ağzımıza gelir. Ağzımızın içinde de özellikle dilimizin ve dudaklarımızın farklı hareketleriyle değişime uğrar. Bu sayede değişik tonlarda sesler çıkarabiliriz. Bu parçada aşağıdaki sorulardan hangisinin cevabı yoktur?","Sesin oluşumunda ses tellerinin rolü var mıdır?","Sesin kişiye özgü oluşunun nedeni nedir?","Sesin oluşumu nasıl gerçekleşmektedir?","Ağızdan farklı seslerin çıkması nasıl olmaktadır?","B","04_NISAN_SOZEL_15da4785_ORNEK_SORULAR"
"2020_2021_S10_04_NISAN_SOZ","2020-2021","Nisan","10","İnsanın, içini dökmek istediği zamanlar olur. Bir dost, bu anlara erişilmez bir değer katar ancak bazı şeyler bir dosta bile söylenmez ki! İşte böyle durumlarda insan -özellikle de içinin gizli kıvrımlarını görmeyi bilen usta bir yazarsa- masasının başına geçip kalemi eline almadan edemez. Yazmak, insanın kendi kendisiyle alçak sesle konuşmasını gerektiren böyle zamanlarda büyük bir kurtarıcıdır. Bu metinle ilgili aşağıdaki açıklamalardan hangisi doğrudur?","I ve II","I ve III","II ve III","I, II ve III","B","04_NISAN_SOZEL_15da4785_ORNEK_SORULAR"
"2020_2021_S02_68223_01_OCA","2020-2021","Ocak","2","Bu metne göre aşağıdakilerden hangisi söylenemez?","A vücut tipine sahip kişiler salı, B vücut tipine sahip kişiler çarşamba günü koşu egzersizi yapabilir.","A ve C vücut tipine sahip kişiler haftanın aynı günleri mekik ve barfiks egzersizleri yapabilir.","B vücut tipine sahip kişiler perşembe günü yürüyüş ve aerobik yapabilir.","C vücut tipine sahip kişiler salı günü yüzebilir ve voleybol oynayabilir.","D","68223_01_OCAK_SOZEL_ORNEK_SORULAR"
"2020_2021_S03_68223_01_OCA","2020-2021","Ocak","3","İnsan beyninin karar verme sürecine ilişkin çığır açıcı bilgiler; insana, kendi zihninin işleyişine ilişkin bir içgörü sağlayarak onu daha doğru kararlar verme yönünde eğitiyor. Altı çizili ifadelerin bu cümleye kazandırdığı anlam aşağıdakilerin hangisinde sırasıyla verilmiştir?","Var olduğu bilinmeyen bir şeyi ortaya çıkarma / Bir konudaki duyguları diğer bir kişiyle aynı olma","Bir alanda yeni bir yöntem başlatma / Kendi duygularını, kendi kendini anlayabilme yeteneği","Yeni bir şey ortaya koyma / Aynı düşüncede, aynı görüşte olma","Değişen koşullara uyabilmek için yeni metotlar kullanma / Kendine özgü bir nitelik taşıma","B","68223_01_OCAK_SOZEL_ORNEK_SORULAR"
"2020_2021_S08_68223_01_OCA","2020-2021","Ocak","8","Geçen gün gazete okurken “Salgın sönümleme aşamasında.” cümlesi dikkatimi çekti. Burada “sönümleme” sözcüğüyle salgının azaldığı anlatılmaya çalışılıyordu. Bir terim olarak fizik alanında kullanılan “sönümleme” sözcüğünün tıp alanında da kullanılıyor olması beni çok sevindirdi. Dilciler “sönümleme” sözcüğünü, dilimize başka bir dilden geçen “itfa” sözcüğünün karşılığı olarak önermişti. “İtfa” ile kökteş olan “itfaiye” sözcüğü bugün dilde yaşıyor ama “itfa” sözcüğü kullanılmıyor artık. Şimdi dilcilere ve tabiplere düşen, “sönümleme” terimini tıpkı “bulaş” terimi gibi sık sık kullanıp sözcüğün kalıcılığını sağlamaktır. Bu parçanın yazılış amacı aşağıdakilerden hangisidir?","Dildeki sözcüklerin doğru kullanımı konusunda toplumsal bilinç oluşturmaya çalışmak","Dile yabancı dillerden geçen terimlerin Türkçelerinin kullanılması için farkındalık oluşturmak","Dilimizdeki tüm yabancı kelimelerin ayıklanıp yerlerine Türkçelerinin kullanılmasını sağlamak","Tıpla ilgili yabancı terimlerin Türkçe karşılığını kullanmanın, anlaşılırlık sağladığına dikkat çekmek","B","68223_01_OCAK_SOZEL_ORNEK_SORULAR"
